preklapanje na koordinatama ((-41.860206604003906, -4.833596706390381)),((-41.86019515991211, -4.833596706390381)) - zbrojene energije 0.023705556988716125 i 0.051669564098119736 
preklapanje na koordinatama ((16.74407958984375, -48.33594512939453)),((16.744077682495117, -48.33594512939453)) - zbrojene energije 0.04406996816396713 i 0.046613212674856186 
preklapanje na koordinatama ((4.0095162034958776e-07, -48.33594512939453)),((-4.0095162034958776e-07, -48.33594512939453)) - zbrojene energije 0.022975550964474678 i 0.0505184680223465 
preklapanje na koordinatama ((-16.744077682495117, -48.33594512939453)),((-16.74407958984375, -48.33594512939453)) - zbrojene energije 0.05068305507302284 i 0.04624275490641594 
preklapanje na koordinatama ((-25.116121292114258, -33.83506393432617)),((-25.116104125976562, -33.83506393432617)) - zbrojene energije 0.024653932079672813 i 0.024712610989809036 
preklapanje na koordinatama ((41.860206604003906, 24.167972564697266)),((41.86019515991211, 24.167972564697266)) - zbrojene energije 0.024378862231969833 i 0.02232356369495392 
preklapanje na koordinatama ((16.744077682495117, 38.66887283325195)),((16.74407958984375, 38.66887283325195)) - zbrojene energije 0.022574281319975853 i 0.02430860698223114 
preklapanje na koordinatama ((33.4881591796875, 38.66887283325195)),((33.48815155029297, 38.66887283325195)) - zbrojene energije 0.023282809183001518 i 0.023666488006711006 
preklapanje na koordinatama ((-33.48815155029297, 38.66887283325195)),((-33.4881591796875, 38.66887283325195)) - zbrojene energije 0.02289227955043316 i 0.048299603164196014 
